episode_key	source_file	method
[Brief] W11L1 - Grundbog kapitel 11 - Postpsykologisk subjektiveringsteori [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L1 Poststrukturalisme, diskursiv psykologi og feministisk teori/W11L1 Grundbog kapitel 11 - Postpsykologisk subjektiveringsteori.pdf	manual_from_pdf_ocr_v1
[Brief] W11L2 - Grundbog kapitel 9 - Narrative teorier [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L2 Narrativitet, kultur og mening/W11L2 Grundbog kapitel 9 - Narrative teorier.pdf	manual_from_pdf_ocr_v1
[Brief] W12L1 - Grundbog kapitel 14 - Perspektiver på personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 14 - Perspektiver på personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[Brief] W12L1 - Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet.pdf	manual_from_pdf_ocr_v1
[Brief] W1L1 - Grundbog kapitel 1 - Introduktion til personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[Brief] W6L1 - Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[Brief] W9L1 - Grundbog kapitel 10 - Kritisk psykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W9L1 Kritisk psykologi/W9L1 Grundbog kapitel 10 - Kritisk psykologi.pdf	manual_from_pdf_ocr_v1
[TTS] W11L2 - Grundbog kapitel 09 - Narrative teorier.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L2 Narrativitet, kultur og mening/W11L2 Grundbog kapitel 9 - Narrative teorier.pdf	manual_from_pdf_ocr_v1
[TTS] W12L1 - Grundbog kapitel 08 - Personlighed, subjektivitet og historicitet.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet.pdf	manual_from_pdf_ocr_v1
[TTS] W12L1 - Grundbog kapitel 14 - Perspektiver på personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 14 - Perspektiver på personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[TTS] W1L1 - Grundbog kapitel 01 - Introduktion til personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[TTS] W6L1 - Grundbog kapitel 04 - Fænomenologisk personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
[TTS] W9L1 - Grundbog kapitel 10 - Kritisk psykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W9L1 Kritisk psykologi/W9L1 Grundbog kapitel 10 - Kritisk psykologi.pdf	manual_from_pdf_ocr_v1
W10L1 - Bjerrum Nielsen & Rudberg (2006) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W10L1 Køn/W10L1 Bjerrum Nielsen & Rudberg (2006).pdf	manual_from_pdf_ocr_v1
W10L1 - Bjerrum Nielsen, H. & Rudberg, M. (2006). Ytre og indre kjønn i forandring. I Moderne jenter. 117-149. Oslo [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W10L1 Køn/W10L1 Bjerrum Nielsen, H. & Rudberg, M. (2006). Ytre og indre kjønn i forandring. I Moderne jenter. 117-149. Oslo.pdf	manual_from_pdf_ocr_v1
W10L2 - Foucault, M. (1997). The Ethics of the Concern of the Self as a Practice of Freedom - Essential Works 1954-1984, Penguin Books. Vol. 1, s. 281-301 [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W10L2 Sociokulturelle teorier - socialkonstruktionisme og poststrukturalisme/W10L2 Foucault, M. (1997). s. 281-301 .pdf	manual_from_pdf_ocr_v1
W10L2 - X Davies (1990) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W10L2 Sociokulturelle teorier - socialkonstruktionisme og poststrukturalisme/W10L2 X Davies (1990).pdf	manual_from_pdf_ocr_v1
W11L1 - Grundbog kapitel 11 - Postpsykologisk subjektiveringsteori [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L1 Poststrukturalisme, diskursiv psykologi og feministisk teori/W11L1 Grundbog kapitel 11 - Postpsykologisk subjektiveringsteori.pdf	manual_from_pdf_ocr_v1
W11L2 - Bruner (1999) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L2 Narrativitet, kultur og mening/W11L2 Bruner (1999).pdf	manual_from_pdf_ocr_v1
W11L2 - Grundbog kapitel 9 - Narrative teorier [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W11L2 Narrativitet, kultur og mening/W11L2 Grundbog kapitel 9 - Narrative teorier.pdf	manual_from_pdf_ocr_v1
W12L1 - Elias (2000) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Elias (2000).pdf	manual_from_pdf_ocr_v1
W12L1 - Grundbog kapitel 14 - Perspektiver på personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 14 - Perspektiver på personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
W12L1 - Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet.pdf	manual_from_pdf_ocr_v1
W1L1 - Grundbog kapitel 01 - Introduktion til personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
