episode_key	source_file	method
W10L1 - Mitchell (2015) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W10L1 Køn/W10L1 Mitchell (2015).pdf	manual_from_pdf_v1
W11L1 - Gergen (1999) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W11L1 Poststrukturalisme, diskursiv psykologi og feministisk teori/W11L1 Gergen (1999).pdf	manual_from_pdf_v1
W11L1 - Hacking (2007) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W11L1 Poststrukturalisme, diskursiv psykologi og feministisk teori/W11L1 Hacking (2007).pdf	manual_from_pdf_v1
W11L2 - Bank, M. (2014). Narrative psykologier. I Køppe, S. & Dammeyer, J. (Red.) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W11L2 Narrativitet, kultur og mening/W11L2 Bank, M. (2014). Narrative psykologier. I Køppe, S. & Dammeyer, J. (Red.).pdf	manual_from_pdf_v1
W11L2 - McAdams & Pals (2006) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W11L2 Narrativitet, kultur og mening/W11L2 McAdams & Pals (2006).pdf	manual_from_pdf_v1
W11L2 - X Raggatt (2002) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W11L2 Narrativitet, kultur og mening/W11L2 X Raggatt (2002).pdf	manual_from_pdf_v1
W1L1 - Lewis (1999) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Lewis (1999).pdf	manual_from_pdf_v1
W1L2 - Koutsoumpis (2025) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W1L2 Personality assessment/W1L2 Koutsoumpis (2025).pdf	manual_from_pdf_v1
W1L2 - Mayer & Bryan (2024) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W1L2 Personality assessment/W1L2 Mayer & Bryan (2024).pdf	manual_from_pdf_v1
W2L1 - Columbus & Strandsbjerg (2025) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W2L1 Personality traits, personality states, and personality dimensions/W2L1 Columbus & Strandsbjerg (2025).pdf	manual_from_pdf_v1
W2L1 - X Zettler et al. (2020) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W2L1 Personality traits, personality states, and personality dimensions/W2L1 X Zettler et al. (2020).pdf	manual_from_pdf_v1
W2L2 - Bleidorn et al. (2022) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W2L2 Person-situation interplay - stability and change of individual differences/W2L2 Bleidorn et al. (2022).pdf	manual_from_pdf_v1
W2L2 - Li & Wilt (2025) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W2L2 Person-situation interplay - stability and change of individual differences/W2L2 Li & Wilt (2025).pdf	manual_from_pdf_v1
W3L1 - Lu, Benet-Martínez & Wang (2023) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W3L1 Culture, evolution, genetics, and personality/W3L1 Lu, Benet-Martínez & Wang (2023).pdf	manual_from_pdf_v1
W3L1 - Volk & Puchalski (2025) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W3L1 Culture, evolution, genetics, and personality/W3L1 Volk & Puchalski (2025).pdf	manual_from_pdf_v1
W3L1 - Zettler et al. (2025) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W3L1 Culture, evolution, genetics, and personality/W3L1 Zettler et al. (2025).pdf	manual_from_pdf_v1
W3L2 - Sharp & Wall (2021) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W3L2 Personlighedsfunktion og forstyrrelse/W3L2 Sharp & Wall (2021).pdf	manual_from_pdf_v1
W4L1 - Freud, S. (1973-1933) EN [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W4L1 Psykoanalysens personlighedsbegreb/W4L1 Freud, S. (1973-1933) EN.pdf	manual_from_pdf_v1
W5L1 - X Freud, S. (1984-1905). Brudstykke af en hysteri-analyse (pp. 9-62, pp. 96- [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W5L1 Empiri og metode i psykoanalysen/W5L1 X Freud, S. (1984-1905). Brudstykke af en hysteri-analyse (pp. 9-62, pp. 96-.pdf	manual_from_pdf_v1
W6L1 - X Moeskær Hansen & Roald (2022) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L1 Fænomenologi/W6L1 X Moeskær Hansen & Roald (2022).pdf	manual_from_pdf_v1
W6L1 - X Spinelli (2005) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L1 Fænomenologi/W6L1 X Spinelli (2005).pdf	manual_from_pdf_v1
W7L1 - Cooper (2003) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W7L1 Eksistentiel personlighedspsykologi II (Bjerregaard-Nielsen)/W7L1 Cooper (2003).pdf	manual_from_pdf_v1
W7L2 - Maslow (1968) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W7L2 Humanistisk psykologi/W7L2 Maslow (1968).pdf	manual_from_pdf_v1
W8L1 - Lamiell, J.T. (2021) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W8L1 Critical personalism/W8L1 Lamiell, J.T. (2021).pdf	manual_from_pdf_v1
W8L1 - Laux et al. (2010) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W8L1 Critical personalism/W8L1 Laux et al. (2010).pdf	manual_from_pdf_v1
W8L1 - W8L1 Lamiell, J.T. (2021) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W8L1 Critical personalism/W8L1 Lamiell, J.T. (2021).pdf	manual_from_pdf_v1
